MSU	Symbol	Keyword
LOC_Os01g01080	OsSPL1	PCD; abiotic stress; blast; disease; disease resistance; oxidative; resistance; salt
LOC_Os01g01280	OsTLP27	chloroplast; leaf; photosynthesis; sheath
LOC_Os01g01360	OsNPF6.1	nitrate
LOC_Os01g01420	OsCOIN	chilling; drought; salt; temperature
LOC_Os01g01430	OsNAC016	 ABA ;  BR ; ABA; BR; Brassinosteroid; architecture; brassinosteroid; drought; drought stress; drought stress ; drought tolerance; erect; osmotic stress; plant architecture; protein kinase; stomatal; stress; stress tolerance; tolerance; water loss
LOC_Os01g01470	ONAC020|OsNAC20	nucleus
LOC_Os01g01484	OsDET1	 ABA ; ABA; ABA biosynthesis; development; flavonoid; flavonoid biosynthesis; leaf; plant development
LOC_Os01g01620	DNL-4	Kinase; grain; grain width; growth; height; kinase; leaf; panicle; panicle length; plant height
LOC_Os01g01660	OsIRL	ABA; blast; homeostasis; jasmonic; jasmonic acid; phytohormone; root; salicylic acid; seedling
LOC_Os01g01689	OsATM	homologous recombination; meiotic; pollen
LOC_Os01g01920	STRIPE3|WFSL1|WSL214	catalase; cell death; chlorophyll; chlorophyll content; chloroplast; chloroplast development; defense; defense response; development; grain; grain yield; homeostasis; leaf; map-based cloning; pathogen; photosynthesis; programmed cell death; seedling; tillering; yield
LOC_Os01g02000	OsPHO1;1	development; iron; node; panicle; phloem; phosphate; plasma membrane; reproductive; seed; seed development; seed size; vascular bundle; xylem; xylem parenchyma; zinc
LOC_Os01g02120	OsMFT2	 ABA ; ABA; R protein; abscisic acid; growth; salt; salt stress; seed; seed germination; seedlings; stress; transcription factor
LOC_Os01g02720	LMM5.1|SPL33	cell death; defense; defense response; disease; disease resistance; early leaf senescence; innate immunity; leaf; leaf senescence; magnaporthe oryzae; pathogen; reactive oxygen species; resistance; senescence; zinc
LOC_Os01g02890	OsPSS|OsSUI1	cell elongation; cell wall
LOC_Os01g03060	OsHRC	blast; blast resistance; resistance; yield
LOC_Os01g03340	APIP4	R protein; immunity; innate immunity; magnaporthe oryzae; pathogen; resistance
LOC_Os01g03360	OsBBPI	ABA; ethylene; ja; jasmonic; jasmonic acid; leaf; phytohormone; sa; salicylic acid; seedling
LOC_Os01g03630	OsLPR3	Pi; Pi homeostasis; homeostasis; phosphate; phosphate homeostasis; pi
LOC_Os01g03640	OsLPR5	Fe; Pi; Pi homeostasis; cell wall; development; growth; homeostasis; leaf; pi; root; root development; xylem; yield
LOC_Os01g03670	OsTKPR2	anther; development; fertility; male fertility; pollen; pollen development
LOC_Os01g03720	MYB1	GA; GA biosynthesis; GA biosynthetic; Pi; Pi uptake; ga; lateral root; leaf; pi; primary root; root; root elongation
LOC_Os01g03750	MHZ4	ABA; adventitious root formation; branching; ethylene; ethylene response; growth; map-based cloning; root; yield
LOC_Os01g03840	OsJAG|SL1	floral; flower; lemma; palea; reproductive; stamen; sterile; vegetative
LOC_Os01g03940	NRR	defense; disease; disease resistance; growth; xoo
LOC_Os01g04130	CRS2|OsCRS2	chlorophyll; chloroplast; growth; leaf; photosynthesis; photosystem; seedling
LOC_Os01g04330	OsCML16	abiotic stress; biotic stress; drought tolerance; growth; root growth; salt; salt stress; stress; stress response
LOC_Os01g04380	OsHSP17.0	drought; salt; salt tolerance
LOC_Os01g04800	OsRAV2	ABA; abscisic acid; salt; salt stress; stress; stress response
LOC_Os01g04920	OsSQD2|OsSQD2.2	phosphate; pi
LOC_Os01g04950	OsNPF8.1|OsNPF8.10|OsPTR7	grain; grain-filling; node; plasma membrane; root; seedling; shoot; transporter
LOC_Os01g05490	OsTPI1.1|TPI	chloroplast; culm; leaf; root
LOC_Os01g05620	Pit	blast; blast disease; blast resistance; disease; disease resistance; resistant
LOC_Os01g06280	FLR14	chalkiness; endosperm; grain; grain quality; oxidative; oxidative stress; quality; reactive oxygen species; stress; stress response
LOC_Os01g06340	PBI1	Kinase; chitin signaling; immunity; kinase; transcription factor; transcriptional activator
LOC_Os01g06630	OsLEA1a	abiotic stress; biotic stress; growth; reactive oxygen species; resistance; stem; stress; stress tolerance; tillering; tolerance; vegetative
LOC_Os01g06640	OsbHLH035|OsbHLH35	ABA; abscisic acid; anther; anther development; development; drought; growth; meiosis; nucleus; salinity; salt; salt stress; seed; seed germination; seedling; seedlings; spikelet; stress; transcription factor; transcriptional regulator
LOC_Os01g06740	OsRIP1|OsjRIP1.1	brown planthopper; cell death; defense; growth; insect; phloem; plasma membrane
LOC_Os01g06890	OsKEAP1	cell death; cytoplasm; development; growth; plant growth; seedlings
LOC_Os01g07110	OsBRCA2	growth; male sterility; meiosis; meiotic; sterility; vegetative
LOC_Os01g07120	OsDREB2A	ABA; abiotic stress; drought; drought tolerance; growth; oxidative; salt; salt stress; salt tolerance; temperature; transcription factor
LOC_Os01g07330	HEIP1|OsAGG1	crossover; meiosis; meiotic
