Rank	Gene	Annotation_locus	Modes	Best_QTL	Best_FarmCPU_pos	Best_FarmCPU_-logP	Best_pipeline_score	Recommendation_score	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_annotate	Score_expression	Score_match	Symbol	Keyword	Locus_annotation	Recommendation_reason
1	LOC_Os11g37280	LOC_Os11g37280	RAP_Step2_all_TGW_quality	QTL20	Chr11-22149668	7.83	78.0	90	18	25	15	8.0	20.0	20.0	*	OsC6	anther; anther development; cuticle; meiotic; microspore; pollen; tapetal; tapetum; temperature; transcription factor	LTPL68 - Protease inhibitor/seed storage/LTP family protein precursor, expressed	pipeline_score=78; farm_logP=7.83; max_variant=25; symbol=OsC6; keyword=anther; anther development; cuticle; meiotic; microspore; pollen; tapetal; tapetum; temperature; transcription factor; recommendation_score=90
2	LOC_Os02g14600	LOC_Os02g14600	RAP_Step2_all_TGW_quality	QTL3	Chr2-7959950	10.35	76.0	81	20	5	25	12.0	17.0	22.0	*			glutelin, putative, expressed	pipeline_score=76; farm_logP=10.35; max_variant=25; recommendation_score=81
3	LOC_Os02g14590	LOC_Os02g14590	RAP_Step2_all_TGW_quality	QTL3	Chr2-7959950	10.35	74.0	79	20	25	25	12.0	10.0	22.0	*			UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed	pipeline_score=74; farm_logP=10.35; max_variant=25; recommendation_score=79
4	LOC_Os02g14680	LOC_Os02g14680	RAP_Step2_all_TGW_quality	QTL3	Chr2-7959950	10.35	74.0	79	25	25	25	12.0	10.0	22.0	*			UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed	pipeline_score=74; farm_logP=10.35; max_variant=25; recommendation_score=79
5	LOC_Os10g31910	LOC_Os10g31910	RAP_Step2_all_TGW_quality	QTL19	Chr10-16868432	9.69	67.0	79	20	10	5	10.0	17.0	20.0	*	DEL1	cell cycle; cell division; cell wall; leaf; leaf senescence; senescence	pectate lyase precursor, putative, expressed	pipeline_score=67; farm_logP=9.69; max_variant=20; symbol=DEL1; keyword=cell cycle; cell division; cell wall; leaf; leaf senescence; senescence; recommendation_score=79
6	LOC_Os07g06130	LOC_Os07g06130	RAP_Step2_all_TGW_quality	QTL14	Chr7-2786938	8.38	66.0	78	5	25	*	8.0	18.0	15.0	*	OsEIN2	blast; blast resistance; ethylene; resistance	ethylene-insensitive protein, putative, expressed	pipeline_score=66; farm_logP=8.38; max_variant=25; symbol=OsEIN2; keyword=blast; blast resistance; ethylene; resistance; recommendation_score=78
7	LOC_Os08g42690	LOC_Os08g42690	RAP_Step2_all_TGW_quality	QTL16	Chr8-26968441	7.60	65.0	77	20	10	25	8.0	10.0	22.0	*	XBOS252	XA21 signaling	ankyrin repeat domain containing protein, expressed	pipeline_score=65; farm_logP=7.6; max_variant=25; symbol=XBOS252; keyword=XA21 signaling; recommendation_score=77
8	LOC_Os08g42600	LOC_Os08g42600	RAP_Step2_all_TGW_quality	QTL16	Chr8-26968441	7.60	64.0	76	20	10	10	8.0	18.0	18.0	*	OsRBR1	Kinase	retinoblastoma-related protein-like, putative, expressed	pipeline_score=64; farm_logP=7.6; max_variant=20; symbol=OsRBR1; keyword=Kinase; recommendation_score=76
9	LOC_Os02g14540	LOC_Os02g14540	RAP_Step2_all_TGW_quality	QTL3	Chr2-7959950	10.35	70.0	75	25	10	*	12.0	10.0	18.0	*			UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed	pipeline_score=70; farm_logP=10.35; max_variant=25; recommendation_score=75
10	LOC_Os02g14570	LOC_Os02g14570	RAP_Step2_all_TGW_quality	QTL3	Chr2-7959950	10.35	70.0	75	20	25	20	12.0	10.0	18.0	*			hydroquinone glucosyltransferase, putative, expressed	pipeline_score=70; farm_logP=10.35; max_variant=25; recommendation_score=75
