QTL	FarmCPU_pos	FarmCPU_-logP	MLM_INFO(Chr-pos-(-log10))	Geno	Geno_pos	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_TE	Score_annotate	Score_expression	Score_match	Score	Source_File	Mode	Annotation_locus	Symbol	Keyword	Locus_annotation	Locus_is_TE	Locus_is_expressed	Locus_is_representative	Recommendation_score	Recommendation_reason
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50080	1:28774281-28780365	5	5	*	10.0	0.0	0.0	10.0	*	25.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50080			MDR-like ABC transporter, putative, expressed	N	Y	Y	25	pipeline_score=25; farm_logP=9.24; max_variant=5; recommendation_score=25
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50090	1:28782784-28785897	25	25	25	10.0	0.0	0.0	10.0	*	45.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50090			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	50	pipeline_score=45; farm_logP=9.24; max_variant=25; recommendation_score=50
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50100	1:28786109-28793300	18	10	10	10.0	0.0	0.0	5.0	*	33.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50100			ABC transporter, ATP-binding protein, putative, expressed	N	Y	Y	36	pipeline_score=33; farm_logP=9.24; max_variant=18; recommendation_score=36
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50110	1:28796516-28797732	1	10	*	10.0	0.0	18.0	20.0	*	58.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50110			MYB family transcription factor, putative, expressed	N	Y	Y	61	pipeline_score=58; farm_logP=9.24; max_variant=10; recommendation_score=61
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50120	1:28798874-28804461	5	5	*	10.0	0.0	0.0	10.0	*	25.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50120			expressed protein	N	Y	Y	25	pipeline_score=25; farm_logP=9.24; max_variant=5; recommendation_score=25
QTL1	Chr1-28977602	9.24	*	Os01g0696100	1:28801026-28802680	5	5	5	10.0	0.0	0.0	15.0	*	30.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	Os01g0696100							30	pipeline_score=30; farm_logP=9.24; max_variant=5; recommendation_score=30
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50140	1:28808245-28808757	25	25	25	10.0	0.0	0.0	0.0	*	35.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50140			transposon protein, putative, unclassified	Y	N	Y	40	pipeline_score=35; farm_logP=9.24; max_variant=25; recommendation_score=40
QTL1	Chr1-28977602	9.24	*	Os01g0696500	1:28823442-28824184	20	10	0	10.0	0.0	0.0	18.0	*	48.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	Os01g0696500							53	pipeline_score=48; farm_logP=9.24; max_variant=20; recommendation_score=53
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50160	1:28825745-28832656	15	10	10	10.0	0.0	0.0	10.0	*	35.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50160			MDR-like ABC transporter, putative, expressed	N	Y	Y	38	pipeline_score=35; farm_logP=9.24; max_variant=15; recommendation_score=38
QTL1	Chr1-28977602	9.24	*	Os01g0696701	1:28825757-28828085	5	10	*	10.0	0.0	0.0	18.0	*	38.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	Os01g0696701							41	pipeline_score=38; farm_logP=9.24; max_variant=10; recommendation_score=41
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50170	1:28835243-28836885	5	5	*	10.0	5.0	0.0	5.0	*	25.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50170			eukaryotic aspartyl protease domain containing protein, expressed	N	Y	Y	25	pipeline_score=25; farm_logP=9.24; max_variant=5; recommendation_score=25
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50180	1:28839404-28845217	25	25	25	10.0	0.0	0.0	0.0	*	35.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50180			retrotransposon protein, putative, Ty1-copia subclass, expressed	Y	Y	Y	40	pipeline_score=35; farm_logP=9.24; max_variant=25; recommendation_score=40
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50190	1:28846416-28846943	25	25	25	10.0	0.0	0.0	0.0	*	35.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50190			expressed protein	N	Y	Y	40	pipeline_score=35; farm_logP=9.24; max_variant=25; recommendation_score=40
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50200	1:28847957-28849824	18	5	10	10.0	0.0	0.0	20.0	*	48.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50200			UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed	N	Y	Y	51	pipeline_score=48; farm_logP=9.24; max_variant=18; recommendation_score=51
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50220	1:28854749-28859921	25	25	25	10.0	0.0	0.0	5.0	*	40.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50220			retrotransposon protein, putative, LINE subclass, expressed	Y	Y	Y	45	pipeline_score=40; farm_logP=9.24; max_variant=25; recommendation_score=45
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50230	1:28860557-28862967	25	25	25	10.0	0.0	0.0	0.0	*	35.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50230			expressed protein	N	Y	Y	40	pipeline_score=35; farm_logP=9.24; max_variant=25; recommendation_score=40
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50240	1:28864521-28866507	20	25	25	10.0	0.0	0.0	18.0	*	53.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50240			expressed protein	N	Y	Y	58	pipeline_score=53; farm_logP=9.24; max_variant=25; recommendation_score=58
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50259	1:28870317-28872555	20	*	5	10.0	0.0	0.0	18.0	*	48.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50259			expressed protein	N	Y	Y	53	pipeline_score=48; farm_logP=9.24; max_variant=20; recommendation_score=53
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50280	1:28874539-28875046	5	*	*	10.0	0.0	0.0	22.0	*	37.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50280			expressed protein	N	Y	Y	37	pipeline_score=37; farm_logP=9.24; max_variant=5; recommendation_score=37
QTL1	Chr1-28977602	9.24	*	LOC_Os01g50290	1:28876391-28877108	5	*	*	10.0	0.0	0.0	22.0	*	37.0	RAP_Step2_all_TGW_quality.FarmCPUpeak_info	RAP_Step2_all_TGW_quality	LOC_Os01g50290			expressed protein	N	Y	Y	37	pipeline_score=37; farm_logP=9.24; max_variant=5; recommendation_score=37
