QTL	FarmCPU_pos	FarmCPU_-logP	MLM_INFO(Chr-pos-(-log10))	Geno	Geno_pos	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_TE	Score_annotate	Score_expression	Score_match	Score	Source_File	Mode	Annotation_locus	Symbol	Keyword	Locus_annotation	Locus_is_TE	Locus_is_expressed	Locus_is_representative	Recommendation_score	Recommendation_reason
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11350	1:6094692-6096528	5	25	*	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11350			bZIP transcription factor domain containing protein, expressed	N	Y	Y	43	pipeline_score=38; farm_logP=13.39; max_variant=25; recommendation_score=43
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11360	1:6108958-6111317	25	5	*	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11360			expressed protein	N	Y	Y	43	pipeline_score=38; farm_logP=13.39; max_variant=25; recommendation_score=43
QTL1	Chr1-6282028	13.39	*	Os01g0212000	1:6109134-6109760	25	25	10	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	Os01g0212000							43	pipeline_score=38; farm_logP=13.39; max_variant=25; recommendation_score=43
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11370	1:6112801-6125531	20	5	*	8.0	0.0	0.0	15.0	*	43.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11370			ATP-dependent RNA helicase, putative, expressed	Y	Y	Y	48	pipeline_score=43; farm_logP=13.39; max_variant=20; recommendation_score=48
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11390	1:6129330-6129737	20	10	0	8.0	0.0	0.0	5.0	*	33.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11390			expressed protein	N	Y	Y	38	pipeline_score=33; farm_logP=13.39; max_variant=20; recommendation_score=38
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11400	1:6132290-6132533	20	10	*	8.0	0.0	0.0	10.0	*	38.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11400			hypothetical protein	N	N	Y	43	pipeline_score=38; farm_logP=13.39; max_variant=20; recommendation_score=43
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11414	1:6134202-6139189	1	10	*	8.0	0.0	0.0	10.0	*	28.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11414			sodium/calcium exchanger protein, putative, expressed	N	Y	Y	31	pipeline_score=28; farm_logP=13.39; max_variant=10; recommendation_score=31
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11430	1:6139582-6142129	5	5	*	8.0	0.0	0.0	5.0	*	18.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11430			expressed protein	N	Y	Y	18	pipeline_score=18; farm_logP=13.39; max_variant=5; recommendation_score=18
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11450	1:6163187-6166385	25	25	25	8.0	0.0	0.0	0.0	*	33.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11450			retrotransposon protein, putative, Ty1-copia subclass, expressed	Y	Y	Y	38	pipeline_score=33; farm_logP=13.39; max_variant=25; recommendation_score=38
QTL1	Chr1-6282028	13.39	*	LOC_Os01g11460	1:6171722-6173186	20	10	15	8.0	5.0	0.0	5.0	*	38.0	RAP_Step2_HNHZ_window200kb.FarmCPUpeak_info	window200kb	LOC_Os01g11460			zinc finger, C3HC4 type domain containing protein, expressed	N	Y	Y	43	pipeline_score=38; farm_logP=13.39; max_variant=20; recommendation_score=43
