QTL	FarmCPU_pos	FarmCPU_-logP	MLM_INFO(Chr-pos-(-log10))	Geno	Geno_pos	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_TE	Score_annotate	Score_expression	Score_match	Score	Source_File	Mode	Annotation_locus	Symbol	Keyword	Locus_annotation	Locus_is_TE	Locus_is_expressed	Locus_is_representative	Recommendation_score	Recommendation_reason
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12040	1:6546714-6554267	25	25	25	8.0	0.0	0.0	0.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12040			transposon protein, putative, unclassified, expressed	Y	Y	Y	38	pipeline_score=33; farm_logP=14.56; max_variant=25; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12060	1:6558931-6559377	20	5	25	8.0	0.0	0.0	18.0	*	51.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12060			expressed protein	N	Y	Y	56	pipeline_score=51; farm_logP=14.56; max_variant=25; recommendation_score=56
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12070	1:6564673-6568151	20	5	*	8.0	0.0	0.0	5.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12070	OsCel9A|OsGLU5	auxin; lateral root; root; root development; seed	endoglucanase precursor, putative, expressed	N	Y	Y	45	pipeline_score=33; farm_logP=14.56; max_variant=20; symbol=OsCel9A|OsGLU5; keyword=auxin; lateral root; root; root development; seed; recommendation_score=45
QTL1	Chr1-6746309	14.56	*	Os01g0220150	1:6565814-6568033	20	5	*	8.0	0.0	0.0	5.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0220150							38	pipeline_score=33; farm_logP=14.56; max_variant=20; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12080	1:6572023-6577171	5	10	*	8.0	0.0	0.0	20.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12080			plant-specific domain TIGR01589 family protein, putative, expressed	N	Y	Y	41	pipeline_score=38; farm_logP=14.56; max_variant=10; recommendation_score=41
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12090	1:6583822-6586889	5	10	10	8.0	0.0	0.0	10.0	abnormal	28.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12090			ribosomal protein S6 family protein, putative, expressed	N	Y	Y	34	pipeline_score=28; farm_logP=14.56; max_variant=10; match=abnormal; recommendation_score=34
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12100	1:6587146-6587940	5	5	*	8.0	0.0	0.0	15.0	*	28.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12100			expressed protein	N	Y	Y	28	pipeline_score=28; farm_logP=14.56; max_variant=5; recommendation_score=28
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12110	1:6590899-6592136	5	10	5	8.0	5.0	0.0	5.0	*	28.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12110			expressed protein	N	Y	Y	31	pipeline_score=28; farm_logP=14.56; max_variant=10; recommendation_score=31
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12120	1:6606521-6607239	20	25	*	8.0	0.0	0.0	0.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12120			expressed protein	N	Y	Y	38	pipeline_score=33; farm_logP=14.56; max_variant=25; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12130	1:6612343-6613905	15	*	0	8.0	0.0	0.0	22.0	*	45.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12130			nodulin MtN3 family protein, putative, expressed	N	Y	Y	48	pipeline_score=45; farm_logP=14.56; max_variant=15; recommendation_score=48
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12140	1:6615403-6615768	20	*	10	8.0	0.0	0.0	0.0	*	28.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12140			expressed protein	N	Y	Y	33	pipeline_score=28; farm_logP=14.56; max_variant=20; recommendation_score=33
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12150	1:6616732-6618823	25	25	*	8.0	5.0	0.0	5.0	*	43.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12150			expressed protein	N	Y	Y	48	pipeline_score=43; farm_logP=14.56; max_variant=25; recommendation_score=48
QTL1	Chr1-6746309	14.56	*	Os01g0220801	1:6617011-6618001	25	10	5	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0220801							43	pipeline_score=38; farm_logP=14.56; max_variant=25; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12160	1:6624963-6630463	5	10	10	8.0	0.0	0.0	15.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12160	OsGH3-3|OsGH3.3|OsJAR2	jasmonic; jasmonic acid	OsGH3.3 - Probable indole-3-acetic acid-amido synthetase, expressed	N	Y	Y	43	pipeline_score=33; farm_logP=14.56; max_variant=10; symbol=OsGH3-3|OsGH3.3|OsJAR2; keyword=jasmonic; jasmonic acid; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	Os01g0221000	1:6625041-6625522	5	10	*	8.0	0.0	0.0	5.0	*	23.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0221000							26	pipeline_score=23; farm_logP=14.56; max_variant=10; recommendation_score=26
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12170	1:6633718-6637599	25	25	*	8.0	0.0	0.0	0.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12170			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	38	pipeline_score=33; farm_logP=14.56; max_variant=25; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12180	1:6642665-6645196	20	10	0	8.0	0.0	0.0	10.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12180			expressed protein	N	Y	Y	43	pipeline_score=38; farm_logP=14.56; max_variant=20; recommendation_score=43
