Rank	Gene	Annotation_locus	Modes	Best_QTL	Best_FarmCPU_pos	Best_FarmCPU_-logP	Best_pipeline_score	Recommendation_score	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_annotate	Score_expression	Score_match	Symbol	Keyword	Locus_annotation	Recommendation_reason
1	LOC_Os08g07740	LOC_Os08g07740	window200kb;winqtl	QTL14	Chr8-4204526	121.32	92.2	112.2	20	25	*	24.2	18.0	15.0	5	CAR8|DTH8|EF8|Ghd8|Hd5|LHD1|OsHAP3H|OsNF-YB11	ER stress; R protein; branching; breeding; chlorophyll biogenesis; cold tolerance; drought; drought stress; drought stress ; floral; flower; flowering; flowering time; grain; grain yield; grains per panicle; heading date; height; nucleus; panicle; photosynthesis; plant height; reproductive; salinity; salinity stress; stress; stress tolerance; tiller; tillering; tolerance; transcription factor; yield	histone-like transcription factor and archaeal histone, putative, expressed	pipeline_score=92.2; farm_logP=121.32; max_variant=25; supported_by_both_modes; symbol=CAR8|DTH8|EF8|Ghd8|Hd5|LHD1|OsHAP3H|OsNF-YB11; keyword=ER stress; R protein; branching; breeding; chlorophyll biogenesis; cold tolerance; drought; drought stress; drought stress ; floral; flower; flowering; flowering time; grain; grain yield; grains per panicle; heading date; height; nucleus; panicle; photosynthesis; plant height; reproductive; salinity; salinity stress; stress; stress tolerance; tiller; tillering; tolerance; transcription factor; yield; match=5; recommendation_score=112.2
2	LOC_Os06g06300	LOC_Os06g06300	winqtl	QTL9	Chr6-3176446	105.38	93.66666666666667	105.667	20	5	*	23.666666666666668	23.0	22.0	*	OsGI-Hd1-Hd3a|RFT1	development; floral; floral meristem; flower; flowering time; grain; grain number; grain weight; grain yield; growth; heading date; inflorescence; meristem; plant height; shoot; shoot apical meristem	osFTL3  FT-Like3 homologous to Flowering Locus T  gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed	pipeline_score=93.6667; farm_logP=105.38; max_variant=20; symbol=OsGI-Hd1-Hd3a|RFT1; keyword=development; floral; floral meristem; flower; flowering time; grain; grain number; grain weight; grain yield; growth; heading date; inflorescence; meristem; plant height; shoot; shoot apical meristem; recommendation_score=105.667
3	LOC_Os06g06320	LOC_Os06g06320	winqtl	QTL9	Chr6-3176446	105.38	93.66666666666667	105.667	20	5	*	23.666666666666668	23.0	22.0	*	Hd3a	Ubiquitin; axillary meristem; branching; domestication; floral; flower; flowering; flowering time; heading date; leaf; meristem; phloem; shoot; shoot apical meristem; strigolactone; temperature; transcription factor	osFTL2  FT-Like2 homologous to Flowering Locus T  gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed	pipeline_score=93.6667; farm_logP=105.38; max_variant=20; symbol=Hd3a; keyword=Ubiquitin; axillary meristem; branching; domestication; floral; flower; flowering; flowering time; heading date; leaf; meristem; phloem; shoot; shoot apical meristem; strigolactone; temperature; transcription factor; recommendation_score=105.667
4	LOC_Os07g15770	LOC_Os07g15770	winqtl	QTL11	Chr7-9560156	19.70	89.0	101	15	*	25	14.0	23.0	22.0	*	Ghd7	abiotic stress; adaptability; architecture; biotic stress; breeding; chloroplast; development; domestication; floral; flower; flowering; flowering time; grain; grain number; grains per panicle; growth; growth rate; heading date; height; map-based cloning; panicle; panicle size; stress; stress response; temperature; transcription factor; transcriptional activator; transcriptional regulator; yield	CCT motif family protein, expressed	pipeline_score=89; farm_logP=19.7; max_variant=25; symbol=Ghd7; keyword=abiotic stress; adaptability; architecture; biotic stress; breeding; chloroplast; development; domestication; floral; flower; flowering; flowering time; grain; grain number; grains per panicle; growth; growth rate; heading date; height; map-based cloning; panicle; panicle size; stress; stress response; temperature; transcription factor; transcriptional activator; transcriptional regulator; yield; recommendation_score=101
5	LOC_Os10g32600	LOC_Os10g32600	window200kb;winqtl	QTL18	Chr10-17082247	69.04	75.66666666666667	92.6667	20	5	0	28.666666666666668	0.0	22.0	*	Ehd1	floral; flower; flowering time; grain; grain number; heading date; height; leaf; meristem; panicle; shoot; shoot apical meristem; spikelet; spikelet number; yield	MYB family transcription factor, putative, expressed	pipeline_score=75.6667; farm_logP=69.04; max_variant=20; supported_by_both_modes; symbol=Ehd1; keyword=floral; flower; flowering time; grain; grain number; heading date; height; leaf; meristem; panicle; shoot; shoot apical meristem; spikelet; spikelet number; yield; recommendation_score=92.6667
6	LOC_Os06g06750	LOC_Os06g06750	window200kb;winqtl	QTL9	Chr6-3176446	105.38	76.66666666666667	91.6667	15	10	15	23.666666666666668	23.0	10.0	*	OsMADS5	branching; floral; floral meristem; floral meristem determinacy; inflorescence; leaf; lemma; meristem; panicle; reproductive; spikelet; spikelet meristem; vegetative	OsMADS5 - MADS-box family gene with MIKCc type-box, expressed	pipeline_score=76.6667; farm_logP=105.38; max_variant=15; supported_by_both_modes; symbol=OsMADS5; keyword=branching; floral; floral meristem; floral meristem determinacy; inflorescence; leaf; lemma; meristem; panicle; reproductive; spikelet; spikelet meristem; vegetative; recommendation_score=91.6667
7	LOC_Os10g32880	LOC_Os10g32880	window200kb;winqtl	QTL18	Chr10-17082247	69.04	78.66666666666667	88.6667	5	25	10	28.666666666666668	10.0	15.0	*			WD domain, G-beta repeat domain containing protein, expressed	pipeline_score=78.6667; farm_logP=69.04; max_variant=25; supported_by_both_modes; recommendation_score=88.6667
8	LOC_Os08g07650	LOC_Os08g07650	window200kb;winqtl	QTL14	Chr8-4204526	121.32	76.2	86.2	25	5	10	24.2	0.0	22.0	*			expressed protein	pipeline_score=76.2; farm_logP=121.32; max_variant=25; supported_by_both_modes; recommendation_score=86.2
9	LOC_Os03g58000	LOC_Os03g58000	window200kb;winqtl	QTL5	Chr3-32939969	31.79	74.0	84	20	25	25	24.0	0.0	20.0	*			expressed protein	pipeline_score=74; farm_logP=31.79; max_variant=25; supported_by_both_modes; recommendation_score=84
10	LOC_Os10g32900	LOC_Os10g32900	window200kb;winqtl	QTL18	Chr10-17082247	69.04	73.66666666666667	83.6667	20	5	*	28.666666666666668	20.0	5.0	*			CCT motif family protein, expressed	pipeline_score=73.6667; farm_logP=69.04; max_variant=20; supported_by_both_modes; recommendation_score=83.6667
