Rank	Gene	Annotation_locus	Modes	Best_QTL	Best_FarmCPU_pos	Best_FarmCPU_-logP	Best_pipeline_score	Recommendation_score	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_annotate	Score_expression	Score_match	Symbol	Keyword	Locus_annotation	Recommendation_reason
1	LOC_Os11g46950	LOC_Os11g46950	RAP_Step2_jap_Ganguang	QTL16	Chr11-28332728	10.45	68.0	73	20	25	*	6.0	10.0	22.0	*			wall-associated receptor kinase-like 18 precursor, putative, expressed	pipeline_score=68; farm_logP=10.45; max_variant=25; recommendation_score=73
2	LOC_Os11g47140	LOC_Os11g47140	RAP_Step2_jap_Ganguang	QTL16	Chr11-28332728	10.45	68.0	73	25	25	*	6.0	10.0	22.0	*			OsWAK123 - OsWAK receptor-like protein kinase, expressed	pipeline_score=68; farm_logP=10.45; max_variant=25; recommendation_score=73
3	LOC_Os11g47150	LOC_Os11g47150	RAP_Step2_jap_Ganguang	QTL16	Chr11-28332728	10.45	68.0	73	25	25	*	6.0	10.0	22.0	*			OsWAK122 - OsWAK receptor-like protein kinase, expressed	pipeline_score=68; farm_logP=10.45; max_variant=25; recommendation_score=73
4	LOC_Os06g14780	LOC_Os06g14780	RAP_Step2_jap_Ganguang	QTL12	Chr6-8359017	36.31	67.0	72	25	25	5	12.0	10.0	20.0	*			expressed protein	pipeline_score=67; farm_logP=36.31; max_variant=25; recommendation_score=72
5	LOC_Os06g19300	LOC_Os06g19300	RAP_Step2_jap_Ganguang	QTL13	Chr6-11006834	28.22	64.0	69	25	25	25	12.0	0.0	22.0	*			cadmium tolerance factor, putative, expressed	pipeline_score=64; farm_logP=28.22; max_variant=25; recommendation_score=69
6	LOC_Os06g19540	LOC_Os06g19540	RAP_Step2_jap_Ganguang	QTL13	Chr6-11006834	28.22	64.0	69	20	25	5	12.0	0.0	22.0	*			oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed	pipeline_score=64; farm_logP=28.22; max_variant=25; recommendation_score=69
7	LOC_Os06g19444	LOC_Os06g19444	RAP_Step2_jap_Ganguang	QTL13	Chr6-11006834	28.22	65.0	68	5	10	*	12.0	23.0	20.0	*			CCT/B-box zinc finger protein, putative, expressed	pipeline_score=65; farm_logP=28.22; max_variant=10; recommendation_score=68
8	LOC_Os08g25250	LOC_Os08g25250	RAP_Step2_jap_Ganguang	QTL14	Chr8-15226152	19.48	62.0	67	25	25	5	12.0	10.0	15.0	*			retrotransposon protein, putative, unclassified, expressed	pipeline_score=62; farm_logP=19.48; max_variant=25; recommendation_score=67
9	LOC_Os06g19620	LOC_Os06g19620	RAP_Step2_jap_Ganguang	QTL13	Chr6-11006834	28.22	62.0	67	15	10	20	12.0	20.0	10.0	*			SFT2, putative, expressed	pipeline_score=62; farm_logP=28.22; max_variant=20; recommendation_score=67
10	LOC_Os09g26720	LOC_Os09g26720	RAP_Step2_jap_Ganguang	QTL15	Chr9-16271846	18.14	60.0	65	25	25	*	15.0	0.0	20.0	*			retrotransposon protein, putative, unclassified	pipeline_score=60; farm_logP=18.14; max_variant=25; recommendation_score=65
