QTL	FarmCPU_pos	Geno	Symbol	Keyword	Geno_pos	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_TE	Score_annotate	Score_expression	Score_match	Score
QTL5	Chr4-16453059	LOC_Os04g28280	An-1	awn; cell division; grain; grain number; grain size; grain yield; grains per panicle; panicle; yield	4:16732393-16734806	15	25	*	32.0	0.0	20.0	20.0	*	97.0
QTL5	Chr4-16453059	LOC_Os04g28570			4:16915607-16917275	5	25	25	32.0	5.0	10.0	18.0	*	90.0
QTL5	Chr4-16453059	LOC_Os04g28250			4:16693992-16694833	5	25	20	32.0	0.0	10.0	20.0	*	87.0
QTL5	Chr4-16453059	LOC_Os04g28590			4:16924290-16928752	20	25	25	32.0	0.0	10.0	20.0	*	87.0
QTL6	Chr4-25938456	LOC_Os04g43840	An-2|LABA1|OsLOGL6	awn; cell division; cytokinin; development; domestication; grain; grain number; grain yield; grains per panicle; panicle; tiller; yield	4:25959399-25963504	5	25	*	29.333333333333336	0.0	10.0	22.0	*	86.33333333333334
QTL5	Chr4-16453059	LOC_Os04g28540			4:16900480-16900752	*	*	25	32.0	5.0	0.0	20.0	*	82.0
QTL9	Chr5-6322105	LOC_Os05g11380			5:6426374-6434650	1	25	*	16.0	5.0	18.0	18.0	*	82.0
QTL5	Chr4-16453059	LOC_Os04g28620			4:16945205-16951596	15	10	25	32.0	5.0	0.0	18.0	*	80.0
QTL5	Chr4-16453059	LOC_Os04g28220			4:16677727-16680600	*	*	25	32.0	0.0	0.0	22.0	*	79.0
QTL5	Chr4-16453059	LOC_Os04g28260	OsKRP1|PAKRP1	development; grain	4:16698985-16707481	15	25	25	32.0	0.0	0.0	20.0	*	77.0
QTL5	Chr4-16453059	LOC_Os04g28680			4:16986170-16990058	20	25	10	32.0	5.0	10.0	0.0	5	77.0
QTL5	Chr4-16453059	LOC_Os04g28520			4:16882652-16891977	20	5	5	32.0	5.0	0.0	18.0	*	75.0
QTL6	Chr4-25938456	LOC_Os04g43380			4:25650132-25652646	25	25	0	29.333333333333336	0.0	10.0	10.0	*	74.33333333333334
QTL6	Chr4-25938456	LOC_Os04g43390			4:25658227-25666730	5	10	25	29.333333333333336	0.0	10.0	10.0	*	74.33333333333334
QTL6	Chr4-25938456	LOC_Os04g43610			4:25803356-25806887	1	25	*	29.333333333333336	0.0	0.0	20.0	*	74.33333333333334
QTL6	Chr4-25938456	LOC_Os04g43710			4:25867807-25869189	5	25	*	29.333333333333336	0.0	10.0	10.0	*	74.33333333333334
QTL6	Chr4-25938456	LOC_Os04g43940			4:26051053-26052479	25	25	*	29.333333333333336	0.0	0.0	20.0	*	74.33333333333334
QTL5	Chr4-16453059	LOC_Os04g28140			4:16621835-16622357	*	25	*	32.0	0.0	17.0	0.0	*	74.0
QTL5	Chr4-16453059	LOC_Os04g28170			4:16639479-16642584	5	10	20	32.0	0.0	10.0	10.0	*	72.0
QTL5	Chr4-16453059	LOC_Os04g28234			4:16684906-16693432	25	25	20	32.0	0.0	0.0	15.0	*	72.0
